parts publishing anything but health 90   published 2,397,161   received 1,363,769
part files naming a level publisher: 18 of 343

part                                      published    received  per recv  level pub
broker-instrument-catalogue-reader          899,034           0  no input  no             38% of all
part-appetite-meter                         462,818           0  no input  no             19% of all
regime-classifier                           160,000         332      482x  yes             7% of all
signal-excursion-profiler                   135,756           0  no input  yes             6% of all
survival-tier-monitor                       133,400         622      214x  no              6% of all
trading-halt-decider                         87,063      99,522        1x  no              4% of all
autonomy-boundary                            66,676      33,427        2x  no              3% of all
folded-circuit-view                          53,786           0  no input  no              2% of all
halt-enforcer                                43,404      45,307        1x  no              2% of all
broker-history-reader                        41,195      98,978        0x  no              2% of all
llm-backpressure-gauge                       33,800      34,200        1x  no              1% of all
conservation-planner                         33,113      33,113        1x  no              1% of all
venue-outage-rider                           31,929         320      100x  yes             1% of all
part-priority-reader                         30,060           0  no input  no              1% of all
tick-size-resolver                           29,727         962       31x  yes             1% of all
accelerator-scheduler                        19,380      10,324        2x  no              1% of all
broker-market-feed-reader                    17,428      16,664        1x  no              1% of all
correlation-cluster-mapper                   14,932         332       45x  yes             1% of all
part-restart-budgeter                        10,467         313       33x  yes             0% of all
price-level-sampler                          10,109       2,279        4x  no              0% of all
